timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715687192930,392,HTTP Request 229,200,,Thread Group 1-229,text,true,,315,324,625,625,http://localhost:8080/customer/add,375,0,90
1715687192925,397,HTTP Request 97,200,,Thread Group 1-97,text,true,,311,320,625,625,http://localhost:8080/customer/add,394,0,95
1715687193004,318,HTTP Request 303,200,,Thread Group 1-301,text,true,,315,324,625,625,http://localhost:8080/customer/add,315,0,17
1715687193069,254,HTTP Request 367,200,,Thread Group 1-366,text,true,,315,324,625,625,http://localhost:8080/customer/add,241,0,1
1715687192999,322,HTTP Request 295,200,,Thread Group 1-296,text,true,,315,324,626,626,http://localhost:8080/customer/add,320,0,21
1715687192924,397,HTTP Request 33,200,,Thread Group 1-33,text,true,,311,320,625,625,http://localhost:8080/customer/add,394,0,95
1715687192925,397,HTTP Request 96,200,,Thread Group 1-95,text,true,,311,320,625,625,http://localhost:8080/customer/add,380,0,95
1715687193146,176,HTTP Request 443,200,,Thread Group 1-445,text,true,,315,324,625,625,http://localhost:8080/customer/add,168,0,1
1715687192976,346,HTTP Request 275,200,,Thread Group 1-275,text,true,,315,324,625,625,http://localhost:8080/customer/add,343,0,44
1715687192925,398,HTTP Request 182,200,,Thread Group 1-182,text,true,,315,324,625,625,http://localhost:8080/customer/add,398,0,96
1715687192925,396,HTTP Request 129,200,,Thread Group 1-129,text,true,,315,324,626,626,http://localhost:8080/customer/add,394,0,95
1715687192925,397,HTTP Request 118,200,,Thread Group 1-119,text,true,,315,324,625,625,http://localhost:8080/customer/add,394,0,96
1715687192924,397,HTTP Request 77,200,,Thread Group 1-77,text,true,,311,320,625,625,http://localhost:8080/customer/add,378,0,95
1715687192927,397,HTTP Request 143,200,,Thread Group 1-143,text,true,,315,324,620,620,http://localhost:8080/customer/add,378,0,93
1715687192957,366,HTTP Request 255,200,,Thread Group 1-254,text,true,,315,324,625,625,http://localhost:8080/customer/add,348,0,63
1715687192925,398,HTTP Request 205,200,,Thread Group 1-205,text,true,,315,324,625,625,http://localhost:8080/customer/add,393,0,95
1715687193109,213,HTTP Request 408,200,,Thread Group 1-408,text,true,,315,324,626,626,http://localhost:8080/customer/add,210,0,1
1715687192941,381,HTTP Request 240,200,,Thread Group 1-240,text,true,,315,324,626,626,http://localhost:8080/customer/add,378,0,80
1715687192927,395,HTTP Request 150,200,,Thread Group 1-150,text,true,,315,324,625,625,http://localhost:8080/customer/add,392,0,94
1715687192925,396,HTTP Request 144,200,,Thread Group 1-144,text,true,,315,324,627,627,http://localhost:8080/customer/add,394,0,95
